Price,Bedroom_Number,Bath_Number,Area,Location,Classification,Furnishing,Post_on
125000,1,2,909,"Sanibel Tower, Park Island, Dubai Marina, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
155000,2,2,1146,"Sobha Hartland, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
73000,1,1,571,"Azizi Riviera 19, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
300000,4,6,1632,"Park Villas, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Villa,Furnished, 31st March 2024
52000,1,1,422,"Jewelz by Danube, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
140000,3,3,1472,"Binghatti Creek, Al Jaddaf, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
55000,1,1,392,"Glamz Residence Tower 2, Glamz by Danube, Al Furjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
50000,1,1,422,"Jewelz by Danube, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
48000,1,2,1000,"Blue 1 Building, Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
48000,1,1,558,"Spanish Andalusian, Canal Residence West, Dubai Sports City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
70000,1,2,639,"Azizi Riviera 25, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
110000,2,3,1030,"Gardenia Livings, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
65000,2,3,1400,"Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
120000,1,2,767,"Residences 12, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
130000,1,2,775,"Residences 16, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
120000,1,2,765,"Residences 6, The Residences at District One, District One, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Furnished, 31st March 2024
46999,1,1,483,"Building 86, Mediterranean, Discovery Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
123000,2,3,815,"Aykon City Tower C, Aykon City, Business Bay, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
95000,2,2,849,"Azizi Riviera 20, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
48000,1,1,450,"Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
75000,1,2,749,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
175000,2,3,2378,"Travo Tower B, Travo, The Views, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
80000,1,2,667,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
80000,1,2,749,"Sydney Tower, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
93000,2,3,1050,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
55000,1,2,809,"Cricket Tower, Dubai Sports City, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
88000,1,1,563,"Bay Square 3, Bay Square, Business Bay, Dubai, UAE",Apartment,Furnished, 31st March 2024
170000,1,2,1083,"SLS Dubai Hotel & Residences, Business Bay, Dubai, UAE",Apartment,Furnished, 31st March 2024
180000,2,2,1005,"Burj Crown, Downtown Dubai, Dubai, UAE",Apartment,Furnished, 31st March 2024
37999,1,1,510,"Dubai Residence Complex, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
75000,1,2,890,"Tower 108, JVC District 18, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
37999,1,1,430,"Dubai Residence Complex, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
54998,1,2,845,"Queue Point, Liwan, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
75000,1,1,643,"Binghatti Luna, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
50000,1,1,394,"Pantheon Elysee II, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
70000,1,1,549,"Millennium Binghatti Residences, Business Bay, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
52000,1,1,381,"Harrington House, JVC District 14, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
70000,1,2,649,"Catch Residences, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
150000,1,2,712,"Seven Palm, Palm Jumeirah, Dubai, UAE",Apartment,Furnished, 31st March 2024
75000,1,2,612,"Catch Residences, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
290000,6,10,10000,"Al Mizhar 1, Al Mizhar, Dubai, UAE",Villa,Unfurnished, 31st March 2024
53999,1,2,850,"Baniyas Center, Al Rigga, Deira, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
175000,2,2,1267,"Bahar 4, Bahar, Jumeirah Beach Residence (JBR), Dubai, UAE",Apartment,Furnished, 31st March 2024
180000,2,3,1443,"Rimal 3, Rimal, Jumeirah Beach Residence (JBR), Dubai, UAE",Apartment,Furnished, 31st March 2024
90000,2,2,1157,"Urbana III, Urbana, Emaar South, Dubai South, Dubai, UAE",Apartment,Furnished, 31st March 2024
75000,1,2,635,"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
75000,1,2,706,"Genesis By Meraki, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
51000,1,1,475,"Genesis By Meraki, Arjan, Dubai, UAE",Apartment,Furnished, 31st March 2024
155000,3,3,1744,"La Rosa 4, La Rosa, Villanova, Dubailand, Dubai, UAE",Townhouse,Unfurnished, 31st March 2024
70000,1,1,505,"Chaimaa Avenue 2, JVC District 13, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 31st March 2024
90000,2,3,1300,"Dubai Science Park, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
60000,1,1,658,"Joya Verde Residences, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
120000,2,2,1146,"Binghatti Heights, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 31st March 2024
190000,4,4,2782,"La Rosa 4, La Rosa, Villanova, Dubailand, Dubai, UAE",Villa,Unfurnished, 31st March 2024
100000,1,1,572,"Manchester Tower, Dubai Marina, Dubai, UAE",Apartment,Furnished, 31st March 2024
140000,2,2,801,"Aykon City Tower C, Aykon City, Business Bay, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
280000,3,4,1568,"Forte 1, Forte, Downtown Dubai, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
280000,2,3,1283,"Sunrise Bay Tower 1, Sunrise Bay, Emaar Beachfront, Dubai Harbour, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
70000,1,3,1067,"European, Canal Residence West, Dubai Sports City, Dubai, UAE",Apartment,Furnished, 31st March 2024
35000,1,1,452,"Skycourts Tower C, Skycourts Towers, Dubai Residence Complex, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
45999,1,1,500,"Dubai Silicon Oasis (DSO), Dubai, UAE",Apartment,Furnished, 31st March 2024
71500,1,1,710,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
88000,2,2,1012,"The Gardens Apartments 8, The Gardens Apartments, The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
88000,2,2,1012,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
71500,1,1,710,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
41000,1,1,647,"Manara 1, Manara, Badrah, Dubai Waterfront, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
41000,1,1,647,"Manara 3, Manara, Badrah, Dubai Waterfront, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
265000,4,5,3814,"Nad Al Sheba 3, Nad Al Sheba, Dubai, UAE",Villa,Unfurnished, 31st March 2024
297000,5,6,4114,"Nad Al Sheba 3, Nad Al Sheba, Dubai, UAE",Villa,Unfurnished, 31st March 2024
110000,3,4,1442,"The Gardens Apartments 1, The Gardens Apartments, The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
110000,3,4,1442,"The Gardens Apartments 1, The Gardens Apartments, The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
297000,5,6,4114,"Nad Al Sheba 3, Nad Al Sheba, Dubai, UAE",Villa,Unfurnished, 31st March 2024
110000,3,3,1442,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
110000,3,4,1442,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
110000,3,3,1442,"The Gardens, Dubai, UAE",Apartment,Unfurnished, 31st March 2024
190000,4,4,2899,"Sama Townhouses, Town Square, Dubai, UAE",Villa,Unfurnished, 30th March 2024
200000,3,5,1827,"Executive Tower C, Executive Towers, Business Bay, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
230000,3,5,1391,"MAG Eye Townhouses, MAG City, District 7, Mohammed Bin Rashid City, Dubai, UAE",Villa,Unfurnished, 30th March 2024
120000,3,5,1918,"Pacifica, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",Villa,Furnished, 30th March 2024
155000,2,2,897,"Aykon City Tower C, Aykon City, Business Bay, Dubai, UAE",Apartment,Furnished, 30th March 2024
92000,1,1,470,"Zada Tower, Business Bay, Dubai, UAE",Apartment,Furnished, 30th March 2024
180000,1,2,1132,"South Ridge 4, South Ridge, Downtown Dubai, Dubai, UAE",Apartment,Furnished, 30th March 2024
130000,2,3,1345,"Welcome Residency, Arjan, Dubai, UAE",Apartment,Furnished, 30th March 2024
110000,1,2,737,"The Pinnacle, Dubai Hills Estate, Dubai, UAE",Apartment,Furnished, 30th March 2024
75000,1,2,875,"Rukan, Dubailand, Dubai, UAE",Townhouse,Unfurnished, 30th March 2024
56800,1,1,870,"ACES Chateau, JVC District 11, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
120000,2,3,813,"Aykon City Tower C, Aykon City, Business Bay, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
50000,1,1,423,"Jewelz by Danube, Arjan, Dubai, UAE",Apartment,Furnished, 30th March 2024
50000,1,2,636,"Liwan, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
75000,1,2,800,"Al Jaddaf, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
180000,5,7,15000,"Al Khawaneej 2, Al Khawaneej, Dubai, UAE",Villa,Unfurnished, 30th March 2024
130000,2,3,1458,"DXB Tower, Sheikh Zayed Road, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
42000,1,1,309,"Azizi Riviera 8, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
82000,2,2,853,"Green Diamond 1 Tower A, Green Diamond 1, Arjan, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
135000,2,2,1262,"The Haven Residences, JVC District 10, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 30th March 2024
39999,1,1,300,"Azizi Riviera 16, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
42000,1,1,316,"Azizi Riviera 27, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
46000,1,1,433,"Laya Mansion, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 30th March 2024
59999,1,2,720,"GMM Tower 1, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
50000,1,1,484,"Discovery Gardens, Dubai, UAE",Apartment,Furnished, 30th March 2024
95000,2,3,1269,"Jumeirah Garden City, Al Satwa, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
47000,1,2,635,"International City Phase 2 (Warsan 4), International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
110000,1,2,853,"Miska 2, Miska, Old Town, Downtown Dubai, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
120000,2,1,738,"Socio Tower A, Socio, Dubai Hills Estate, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
210000,2,2,1154,"Vida Residences Creek Beach, Dubai Creek Harbour, Dubai, UAE",Apartment,Furnished, 30th March 2024
95000,1,1,475,"Socio Tower A, Socio, Dubai Hills Estate, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
120000,2,1,718,"Socio Tower A, Socio, Dubai Hills Estate, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
105000,1,1,471,"Socio Tower A, Socio, Dubai Hills Estate, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
180000,2,2,1128,"Creek Horizon Tower 1, Creek Horizon, Dubai Creek Harbour, Dubai, UAE",Apartment,Furnished, 30th March 2024
95000,2,2,987,"Binghatti Gate, JVC District 15, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Furnished, 30th March 2024
250000,4,5,2585,"Eleganz by Danube, JVC District 14, Jumeirah Village Circle (JVC), Dubai, UAE",Townhouse,Furnished, 30th March 2024
200000,3,4,2802,"Casa Dora, Serena, Dubai, UAE",Townhouse,Unfurnished, 30th March 2024
27000,1,1,484,"EMR-05, Emirates Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
27000,1,1,484,"N-13, Persia Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
44000,1,1,472,"Sherena Residence, Majan, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
28000,1,1,484,"France Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
60000,2,2,965,"MAG 535, MAG 5 Boulevard, Dubai South, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
80000,2,3,1000,"Al Jaddaf, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
35000,1,2,730,"X-01, England Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
85000,1,1,817,"Binghatti Luna, JVC District 12, Jumeirah Village Circle (JVC), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
60000,2,2,965,"MAG 535, MAG 5 Boulevard, Dubai South, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
34000,1,2,742,"I-14, Morocco Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
37000,1,2,750,"S-19, Spain Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
40000,1,1,380,"Azizi Riviera 33, Azizi Riviera, Meydan One, Meydan City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
48000,1,1,435,"Spirit Tower, Dubai Sports City, Dubai, UAE",Apartment,Furnished, 30th March 2024
28000,1,1,460,"EMR-25, Emirates Cluster, International City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
45000,1,1,383,"Azizi Roy Mediterranean, Al Furjan, Dubai, UAE",Apartment,Furnished, 30th March 2024
35000,1,1,450,"Cordoba Palace, Dubai Silicon Oasis (DSO), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
55000,1,1,589,"The Bridge, Dubai Sports City, Dubai, UAE",Apartment,Furnished, 30th March 2024
125000,3,3,1872,"The Valley, Dubai, UAE",Townhouse,Unfurnished, 30th March 2024
120000,1,2,978,"Tower D, DAMAC Towers by Paramount Hotels and Resorts, Business Bay, Dubai, UAE",Apartment,Furnished, 30th March 2024
190000,5,8,11115,"Al Khawaneej 2, Al Khawaneej, Dubai, UAE",Villa,Unfurnished, 30th March 2024
75000,1,2,693,"Binghatti Creek, Al Jaddaf, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
40000,1,1,800,"Canary Building, Al Nahda 2, Al Nahda (Dubai), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
41000,1,1,465,"Wimbledon Tower, Dubai Sports City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
60000,1,1,1208,"Avencia, DAMAC Hills 2 (Akoya by DAMAC), Dubai, UAE",Apartment,Unfurnished, 30th March 2024
145000,2,3,1409,"Zumurud Tower, Dubai Marina, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
60000,1,1,370,"Zumurud Tower, Dubai Marina, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
140000,2,3,1398,"Art XIV14, Business Bay, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
100000,1,2,760,"District 7, Mohammed Bin Rashid City, Dubai, UAE",Apartment,Unfurnished, 30th March 2024
